country,x,y
Sudan,119,138
Algeria,-121,225
Angola,1,-125
Benin,-132,70
Botswana,53,-224
Burkina Faso,-170,85
Burundi,108,-51
Cameroon,-41,22
Central African Republic,17,39
Chad,14,113
Comoros,242,-138
Congo,-20,-29
Cote dï¿½Ivoire,-201,47
Djibouti,214,78
The Democratic Republic of Congo,69,-32
Egypt,121,221
Eritrea,184,117
Ethiopia,195,52
Gabon,-57,-29
Ghana,-163,47
Guinea,-247,76
Guinea Bissau,-283,85
Kenya,165,-20
Lesotho,93,-286
Liberia,-231,33
Libya,0,213
Madagascar,259,-191
Malawi,154,-154
Mali,-185,125
Mauritania,-243,160
Mauritius,315,-210
Morocco,-192,281
Mozambique,175,-136
Namibia,-10,-214
Niger,-49,142
Nigeria,-89,58
Rwanda,108,-37
Saharawi Arab Democratic Republic,-275,196
Sao Tome Principe,-108,-7
Senegal,-290,112
Seychelles,280,-99
Sierra Leone,-256,53
Somalia,267,37
South Africa,54,-291
South Sudan,104,44
Swaziland,120,-256
Tanzania,146,-78
The Gambia,-290,97
Togo,-142,49
Tunisia,-70,297
Uganda,134,-3
Zambia,91,-143
Zimbabwe,120,-191
Cabo Verde,-330,143